product_code,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
16256866,0.97,High Calorie,High Sugar,Yes
6111206000733,0.0,Moderate Calorie,Low Sugar,Yes
6111184000213,0.83,Moderate Calorie,High Sugar,Yes
8002270014901,,Low Calorie,Low Sugar,No
59032823,0.98,High Calorie,High Sugar,Yes
6111018501480,1.0,Low Calorie,Low Sugar,No
3155250358788,,High Calorie,Low Sugar,Yes
50160884,0.13,Moderate Calorie,Low Sugar,No
6111259340992,0.0,High Calorie,Low Sugar,Yes
6111242100930,0.99,Low Calorie,Moderate Sugar,No
3068320123264,,Low Calorie,Low Sugar,Yes
6111242102781,0.63,Low Calorie,Low Sugar,No
4056489148739,0.95,Low Calorie,Low Sugar,No
6111242103702,0.56,Low Calorie,Low Sugar,No
6175700,0.03,Moderate Calorie,Low Sugar,No
5010265002911,0.04,Low Calorie,Low Sugar,No
6111032008453,0.7,Low Calorie,Low Sugar,No
5449000131805,,Low Calorie,Unknown,Yes
3608580124047,0.75,High Calorie,Moderate Sugar,Yes
6111214004747,0.04,High Calorie,Low Sugar,No
3175681851849,0.18,High Calorie,Moderate Sugar,Yes
54491472,0.97,Low Calorie,Moderate Sugar,Yes
3451790988677,1.0,High Calorie,Low Sugar,No
5010029000801,0.06,Moderate Calorie,Low Sugar,No
6111242101050,0.0,Low Calorie,Low Sugar,No
20003166,0.01,Moderate Calorie,Low Sugar,No
5013665112273,0.43,Low Calorie,Low Sugar,No
6111250012416,0.0,Low Calorie,Low Sugar,No
5411188115366,0.51,Low Calorie,Low Sugar,Yes
10596975,0.26,Moderate Calorie,Low Sugar,No
6111252860077,1.0,High Calorie,High Sugar,Yes
6111245591063,,Unknown,Unknown,No
6111242100817,0.0,Low Calorie,Low Sugar,No
20095291,0.85,Low Calorie,Low Sugar,Yes
3229820019307,0.03,Moderate Calorie,Low Sugar,No
5034467000216,0.09,Low Calorie,Low Sugar,No
80176800,0.98,High Calorie,High Sugar,Yes
6111126003821,0.0,Low Calorie,Low Sugar,No
6111035003509,,Low Calorie,Low Sugar,No
3480341000674,0.64,Low Calorie,Low Sugar,No
6111203001474,0.0,High Calorie,Low Sugar,Yes
8410076801180,0.42,Low Calorie,Moderate Sugar,Yes
4008400401621,0.98,High Calorie,High Sugar,Yes
6111032000631,,Low Calorie,Low Sugar,No
80052760,0.83,High Calorie,High Sugar,Yes
6111242102002,0.47,Low Calorie,Low Sugar,Yes
3251490332080,0.3,High Calorie,Moderate Sugar,Yes
3175680015228,0.1,Moderate Calorie,Low Sugar,No
3229820160672,0.23,High Calorie,Moderate Sugar,Yes
5449000133328,,Low Calorie,Low Sugar,Yes
5449000131836,,Low Calorie,Low Sugar,Yes
3760049790214,0.13,Moderate Calorie,Low Sugar,Yes
20006105,0.1,Low Calorie,Low Sugar,Yes
3046920028721,0.1,High Calorie,Low Sugar,No
5010003064744,0.09,Low Calorie,Low Sugar,Yes
3019081238643,,Moderate Calorie,Low Sugar,No
5449000000439,1.0,Low Calorie,Moderate Sugar,Yes
6111024001516,,High Calorie,Low Sugar,Yes
7613035040823,0.92,High Calorie,High Sugar,Yes
6111259342828,0.26,High Calorie,Moderate Sugar,Yes
3257971309114,,Low Calorie,Low Sugar,No
7322540548563,,Unknown,Unknown,No
7640154260283,,Unknown,Unknown,No
3256540000698,0.2,Moderate Calorie,Moderate Sugar,Yes
8000500179864,0.98,High Calorie,High Sugar,Yes
3045140105502,0.96,High Calorie,High Sugar,Yes
50457250,0.98,Low Calorie,Moderate Sugar,No
6111184001203,0.27,Low Calorie,Low Sugar,Yes
5020364010113,0.1,Moderate Calorie,Low Sugar,No
42105220,1.0,Low Calorie,Moderate Sugar,Yes
5036589252450,1.0,Low Calorie,Low Sugar,No
3033710073467,1.0,Low Calorie,Low Sugar,Yes
3284230006408,0.25,Moderate Calorie,Moderate Sugar,Yes
6111242103528,0.1,Low Calorie,Low Sugar,Yes
7622201693916,1.0,Moderate Calorie,Low Sugar,Yes
6111242105331,1.0,High Calorie,Low Sugar,No
6111035502941,,Low Calorie,Low Sugar,No
3225350000501,0.5,Low Calorie,Low Sugar,No
87157215,0.98,Low Calorie,Moderate Sugar,No
40896243,0.8,Low Calorie,Low Sugar,Yes
50457243,0.98,Low Calorie,Moderate Sugar,No
8722700479475,0.93,High Calorie,Low Sugar,Yes
6111259343344,0.52,High Calorie,High Sugar,No
10614594,0.38,Moderate Calorie,Moderate Sugar,No
8719200237902,1.0,High Calorie,Low Sugar,Yes
8076809523547,0.65,Moderate Calorie,Low Sugar,Yes
3088543506255,0.98,High Calorie,High Sugar,No
3480341000636,1.0,Low Calorie,Low Sugar,No
8718114724485,0.93,Low Calorie,Low Sugar,Yes
6111250474405,0.98,High Calorie,High Sugar,Yes
6111242102767,1.0,Low Calorie,Moderate Sugar,Yes
5411188103387,0.97,Low Calorie,Low Sugar,Yes
3760091727732,0.45,High Calorie,Low Sugar,No
5010029000023,0.06,Moderate Calorie,Low Sugar,No
4056489346357,,Low Calorie,Unknown,Yes
5201054017432,1.0,Low Calorie,Low Sugar,No
4088600247519,0.07,Low Calorie,Low Sugar,No
5057967395088,0.05,Low Calorie,Low Sugar,No
90382383,0.78,Low Calorie,Low Sugar,Yes
6111246953679,,Low Calorie,Moderate Sugar,No
3587220002252,0.27,Moderate Calorie,Moderate Sugar,Yes
3046920029780,0.88,High Calorie,High Sugar,Yes
6111250472241,0.89,Low Calorie,High Sugar,Yes
6111260230619,0.0,Moderate Calorie,Low Sugar,No
6111246651261,,Unknown,Unknown,No
3366321052386,,High Calorie,Low Sugar,Yes
5053990101597,0.14,Low Calorie,Low Sugar,Yes
6111184003276,0.0,Low Calorie,Low Sugar,No
3229820129488,0.24,Moderate Calorie,Moderate Sugar,No
7613039490266,0.95,Moderate Calorie,High Sugar,Yes
3033710084913,0.54,Low Calorie,Low Sugar,Yes
3327272107969,0.48,High Calorie,Low Sugar,No
6111246250013,,Low Calorie,Low Sugar,Yes
3088542500285,0.99,Moderate Calorie,High Sugar,No
3760049791006,0.06,Moderate Calorie,Low Sugar,Yes
4008400404127,0.98,High Calorie,High Sugar,Yes
6111242101272,1.0,Low Calorie,Moderate Sugar,Yes
8410510012196,0.71,Low Calorie,Low Sugar,Yes
4056489007180,0.12,Moderate Calorie,Low Sugar,Yes
4088600246291,0.01,Moderate Calorie,Low Sugar,No
7622210601988,0.45,High Calorie,High Sugar,Yes
5410126006957,0.65,High Calorie,High Sugar,Yes
6111242104198,0.52,Low Calorie,Low Sugar,Yes
6111021090049,0.38,Low Calorie,Low Sugar,No
6111251753899,0.26,Low Calorie,Low Sugar,Yes
3041090063206,0.11,Moderate Calorie,Low Sugar,Yes
20815394,0.88,High Calorie,High Sugar,No
5010477348678,0.28,Moderate Calorie,Moderate Sugar,No
6111250470209,0.0,Low Calorie,Low Sugar,No
5011273040698,0.99,Moderate Calorie,High Sugar,No
6111035001024,,Unknown,Unknown,No
5059697731860,0.8,Low Calorie,Low Sugar,Yes
4016241030573,1.0,Low Calorie,Low Sugar,No
5017764128104,0.0,High Calorie,Low Sugar,No
8198701234564,0.45,High Calorie,Moderate Sugar,Yes
5053990101573,0.02,High Calorie,Low Sugar,Yes
8719200269743,1.0,High Calorie,Low Sugar,Yes
7300400481571,0.03,Moderate Calorie,Low Sugar,No
7613035676497,1.0,Low Calorie,Low Sugar,Yes
20047559,1.0,Low Calorie,Low Sugar,No
3362600001106,0.32,Moderate Calorie,Moderate Sugar,Yes
3041090063114,0.1,Moderate Calorie,Low Sugar,Yes
3175681851856,0.25,High Calorie,Moderate Sugar,Yes
5000157076410,0.97,High Calorie,Low Sugar,No
6111266962446,,Low Calorie,Moderate Sugar,Yes
6111180003102,0.0,Moderate Calorie,Low Sugar,No
7613287431943,0.96,Moderate Calorie,High Sugar,Yes
3229820794525,0.28,High Calorie,Moderate Sugar,Yes
5053990156009,0.02,High Calorie,Low Sugar,Yes
3061990143365,0.45,Low Calorie,Low Sugar,Yes
5025125000150,0.07,Low Calorie,Low Sugar,No
5013665112235,0.14,Low Calorie,Low Sugar,Yes
3045320094008,1.0,Moderate Calorie,High Sugar,Yes
5000168036755,0.24,High Calorie,Moderate Sugar,Yes
6111206000696,1.0,Moderate Calorie,Low Sugar,Yes
3228857001231,0.27,Moderate Calorie,Moderate Sugar,Yes
5000108022152,0.02,Low Calorie,Low Sugar,No
8720182556738,0.77,Low Calorie,Low Sugar,No
6153153,0.01,Moderate Calorie,Low Sugar,No
8410076610737,0.62,Low Calorie,Low Sugar,Yes
5013665108801,0.51,Low Calorie,Low Sugar,No
6111246950845,,Low Calorie,Low Sugar,No
20202392,1.0,Moderate Calorie,Low Sugar,No
3412290070101,1.0,Moderate Calorie,Low Sugar,No
6111162001201,0.0,Low Calorie,Low Sugar,No
6111250473453,,Low Calorie,Unknown,No
5013665111610,0.02,Low Calorie,Low Sugar,No
6111251420272,,Low Calorie,Unknown,No
3327272107259,0.72,High Calorie,Low Sugar,No
6111035001383,,Low Calorie,Unknown,No
3228857000166,0.13,Moderate Calorie,Low Sugar,Yes
7622201133337,0.7,Low Calorie,Moderate Sugar,Yes
5010044000701,0.06,Low Calorie,Low Sugar,Yes
5016084000374,0.03,Moderate Calorie,Low Sugar,No
8434165466333,0.14,High Calorie,Low Sugar,Yes
6111259347021,0.56,High Calorie,High Sugar,Yes
6111184000657,,High Calorie,Low Sugar,Yes
6111259093140,,Unknown,Unknown,No
3229820787015,0.31,Low Calorie,Low Sugar,Yes
8410376026962,0.36,High Calorie,Moderate Sugar,Yes
8410376009415,0.01,High Calorie,Low Sugar,Yes
6111162000723,,Moderate Calorie,Unknown,No
3155251205302,,High Calorie,Low Sugar,Yes
8719200012608,1.0,Moderate Calorie,Low Sugar,Yes
5411188116592,0.7,Low Calorie,Low Sugar,Yes
6111175000741,,Unknown,Unknown,No
6111242102019,0.39,Low Calorie,Low Sugar,No
6111180007339,1.0,High Calorie,High Sugar,Yes
3366321051983,,High Calorie,Low Sugar,Yes
8410076601131,0.42,Low Calorie,Moderate Sugar,Yes
90338243,1.0,Low Calorie,Moderate Sugar,Yes
5060337220415,0.58,Low Calorie,Low Sugar,No
6111032002925,1.0,Low Calorie,Low Sugar,No
5025125000105,0.04,Moderate Calorie,Low Sugar,No
6111242380219,0.89,High Calorie,High Sugar,No
3175680011534,0.32,High Calorie,Moderate Sugar,Yes
5411188119098,0.92,Low Calorie,Low Sugar,Yes
3229820782560,0.22,Moderate Calorie,Moderate Sugar,No
4014400400007,0.83,High Calorie,High Sugar,Yes
680569854124,0.23,Low Calorie,Low Sugar,Yes
6111028000980,0.57,Moderate Calorie,Low Sugar,Yes
8410076601148,0.44,High Calorie,High Sugar,Yes
4088600327587,0.03,Moderate Calorie,Low Sugar,Yes
3504182960123,,Unknown,Unknown,No
3175681105423,0.0,High Calorie,Low Sugar,Yes
8720182460721,0.74,Low Calorie,Low Sugar,No
5036589255598,1.0,Low Calorie,Low Sugar,No
5201054017418,1.0,Low Calorie,Low Sugar,No
5060228323799,0.06,Moderate Calorie,Low Sugar,Yes
6111266960336,0.0,Moderate Calorie,Low Sugar,Yes
3159470000120,0.1,Moderate Calorie,Low Sugar,No
5410126716016,0.52,High Calorie,High Sugar,No
5059697710001,0.93,High Calorie,High Sugar,No
3392460480827,0.05,High Calorie,Low Sugar,Yes
3175680011442,0.27,High Calorie,Moderate Sugar,Yes
5000168198491,0.24,High Calorie,Moderate Sugar,Yes
16811207,0.43,High Calorie,High Sugar,Yes
1318180,0.12,Moderate Calorie,Low Sugar,Yes
3229820021027,0.29,High Calorie,Moderate Sugar,Yes
3068320120256,,Low Calorie,Low Sugar,No
7394376616501,0.48,Low Calorie,Low Sugar,No
3046920029674,0.96,High Calorie,High Sugar,Yes
6111099000247,,High Calorie,Low Sugar,No
3017620421006,0.98,High Calorie,High Sugar,Yes
8076800195057,0.05,Moderate Calorie,Low Sugar,No
3046920010047,0.71,Low Calorie,Low Sugar,No
4006985906203,0.02,Moderate Calorie,Low Sugar,No
3124480191182,1.0,Low Calorie,Low Sugar,Yes
5053990161669,0.06,High Calorie,Low Sugar,Yes
6111242107380,0.42,Low Calorie,Low Sugar,Yes
3228857001378,0.21,Moderate Calorie,Low Sugar,Yes
6111032006749,1.0,Low Calorie,Moderate Sugar,No
6111252422008,,Unknown,Unknown,No
6111262821150,0.11,High Calorie,Low Sugar,Yes
3664346312936,0.98,High Calorie,High Sugar,Yes
5057967395071,0.06,Moderate Calorie,Low Sugar,No
6111032010135,0.0,Low Calorie,Low Sugar,Yes
8715700407760,0.98,Low Calorie,Moderate Sugar,No
4056489141877,,High Calorie,Low Sugar,No
5449000015105,1.0,Low Calorie,Low Sugar,Yes
6111250474191,0.0,Low Calorie,Low Sugar,No
3302740087059,0.05,Low Calorie,Low Sugar,Yes
3760049794298,0.12,Moderate Calorie,Low Sugar,Yes
8410111211202,,Low Calorie,Low Sugar,No
3168930009078,0.02,Moderate Calorie,Low Sugar,No
3017760542890,0.04,Moderate Calorie,Low Sugar,Yes
3272770098090,1.0,Moderate Calorie,Low Sugar,Yes
3168930163480,0.94,Low Calorie,Low Sugar,No
6111180007650,,Moderate Calorie,Low Sugar,No
4056489216162,0.77,Low Calorie,Low Sugar,Yes
5053990167807,0.02,High Calorie,Low Sugar,Yes
5060198641251,0.02,Moderate Calorie,Low Sugar,No
5013665115373,0.06,Low Calorie,Low Sugar,Yes
6111184004716,0.39,Low Calorie,Low Sugar,Yes
6111025120605,0.95,High Calorie,High Sugar,Yes
3229820181950,0.45,High Calorie,High Sugar,Yes
5053990107339,0.02,High Calorie,Low Sugar,No
6111024002186,,High Calorie,Low Sugar,No
5010477348357,0.31,High Calorie,Moderate Sugar,Yes
4008713756661,0.01,Moderate Calorie,Low Sugar,No
6111021026000,0.38,Low Calorie,Low Sugar,No
8712100338694,0.01,Moderate Calorie,Low Sugar,No
4056489039518,0.06,High Calorie,Low Sugar,Yes
6111017007013,1.0,Moderate Calorie,High Sugar,No
7613035530799,,Unknown,Unknown,Yes
3083681095296,0.96,Low Calorie,Low Sugar,No
4088600060880,0.67,Low Calorie,Low Sugar,No
6111032004455,0.72,Low Calorie,Low Sugar,Yes
6111032006718,,Unknown,Unknown,No
6111162001164,,Moderate Calorie,Unknown,No
5014213711290,0.33,High Calorie,Low Sugar,No
5000165024014,1.0,High Calorie,Low Sugar,No
5060092690331,1.0,High Calorie,Low Sugar,No
5051399182506,0.02,Low Calorie,Low Sugar,No
8410510012202,0.71,High Calorie,Moderate Sugar,Yes
3067140013120,,Unknown,Unknown,No
20150907,0.91,Low Calorie,Moderate Sugar,No
6111184000701,0.0,Low Calorie,Low Sugar,No
6111243860376,0.99,Low Calorie,Moderate Sugar,Yes
3021769505602,0.85,Low Calorie,Moderate Sugar,Yes
7613032655495,1.0,Low Calorie,Low Sugar,Yes
3046920016377,0.0,High Calorie,Low Sugar,No
6111162000181,1.0,Low Calorie,Low Sugar,No
7622210995087,0.93,High Calorie,High Sugar,Yes
5018357012497,0.22,Moderate Calorie,Moderate Sugar,No
6111021090056,0.38,Low Calorie,Low Sugar,No
8402001010873,0.06,High Calorie,Low Sugar,Yes
6111266962576,0.44,Low Calorie,Low Sugar,No
3033710065783,0.93,Moderate Calorie,High Sugar,Yes
5000111046244,0.83,Low Calorie,Low Sugar,Yes
5060198640261,0.04,High Calorie,Low Sugar,No
3228857000852,0.15,Moderate Calorie,Low Sugar,Yes
3760049790252,0.07,Moderate Calorie,Low Sugar,Yes
6111032010128,0.0,Low Calorie,Low Sugar,No
6111032002208,1.0,Low Calorie,Moderate Sugar,Yes
6111242882263,,Low Calorie,Unknown,Yes
3366321051686,,High Calorie,Low Sugar,Yes
5010044000404,0.06,Low Calorie,Low Sugar,Yes
5018095011271,0.05,Low Calorie,Low Sugar,No
7613287194374,0.01,Moderate Calorie,Low Sugar,No
20000653,1.0,Moderate Calorie,High Sugar,Yes
3242274030056,0.24,Low Calorie,Low Sugar,Yes
3329757002998,0.0,Low Calorie,Low Sugar,Yes
8000500082379,0.98,High Calorie,High Sugar,Yes
5000246728749,1.0,High Calorie,Low Sugar,Yes
6111035002359,,Low Calorie,Low Sugar,No
5060088707685,0.88,Moderate Calorie,High Sugar,Yes
5000129341041,0.06,Moderate Calorie,Low Sugar,No
6111031005033,0.73,High Calorie,High Sugar,Yes
3175681209282,0.14,High Calorie,Low Sugar,Yes
5000119117359,0.06,Moderate Calorie,Low Sugar,No
5070000126579,0.19,High Calorie,Low Sugar,Yes
5449000135544,,Low Calorie,Low Sugar,No
5060088700112,0.77,High Calorie,High Sugar,Yes
8719200269828,1.0,High Calorie,Low Sugar,Yes
3330720237361,0.98,High Calorie,High Sugar,Yes
8480000142139,0.3,High Calorie,Moderate Sugar,Yes
5000184321064,0.93,Moderate Calorie,Low Sugar,Yes
7622210476296,0.36,Low Calorie,Low Sugar,Yes
3251490307002,0.34,Low Calorie,Low Sugar,Yes
3178530410105,0.43,High Calorie,Moderate Sugar,Yes
8436547770137,0.45,Low Calorie,Low Sugar,No
5000157062673,0.71,Low Calorie,Low Sugar,Yes
6111128000217,1.0,Low Calorie,Low Sugar,Yes
3176582033563,0.1,Moderate Calorie,Low Sugar,No
3254380008430,,Unknown,Unknown,No
5060042641406,0.05,High Calorie,Low Sugar,Yes
6111018903185,1.0,Low Calorie,Low Sugar,No
5000157143037,0.5,High Calorie,Low Sugar,No
3229820769165,0.15,Moderate Calorie,Low Sugar,Yes
9111445000430,,Unknown,Unknown,No
6111162000822,1.0,Moderate Calorie,High Sugar,No
7613036249928,,Unknown,Unknown,No
87157277,0.98,Low Calorie,Moderate Sugar,No
5285000396437,0.08,High Calorie,Low Sugar,No
8410376037784,0.07,High Calorie,Low Sugar,Yes
8410109121551,0.04,Moderate Calorie,Low Sugar,No
6111259733749,,Unknown,Unknown,No
80761761,0.83,High Calorie,High Sugar,Yes
6410500090014,0.03,Moderate Calorie,Low Sugar,No
7622210204424,0.45,Low Calorie,Low Sugar,Yes
5036589200970,1.0,Low Calorie,Low Sugar,No
10001295,0.26,High Calorie,Moderate Sugar,Yes
8410076470812,0.05,Low Calorie,Low Sugar,Yes
5411188118121,,Low Calorie,Low Sugar,Yes
3033710065967,0.95,Moderate Calorie,High Sugar,Yes
3161711001971,0.12,Moderate Calorie,Low Sugar,No
3272770097642,1.0,Moderate Calorie,Low Sugar,Yes
5053990155354,0.05,High Calorie,Low Sugar,Yes
7622201809638,0.56,Low Calorie,Low Sugar,Yes
4056489028109,0.96,Low Calorie,Low Sugar,No
5000436857112,0.12,Low Calorie,Low Sugar,Yes
5060283762199,0.02,High Calorie,Low Sugar,No
6111021090100,0.38,Low Calorie,Low Sugar,No
3228021170039,,Moderate Calorie,Low Sugar,No
5010029226188,0.28,Moderate Calorie,Moderate Sugar,No
8052575090292,0.96,High Calorie,High Sugar,Yes
5010029229035,0.24,Low Calorie,Low Sugar,Yes
6111099000582,,High Calorie,Low Sugar,No
6111101001361,0.9,Low Calorie,Low Sugar,No
3182180001477,0.02,High Calorie,Low Sugar,Yes
8445290133403,0.95,Moderate Calorie,High Sugar,Yes
5010044002552,0.07,Moderate Calorie,Low Sugar,Yes
5000436589457,1.0,Low Calorie,Low Sugar,No
6111242070783,,Unknown,Unknown,No
6923818881323,0.61,High Calorie,High Sugar,No
3608580124108,0.67,High Calorie,Moderate Sugar,Yes
3175681066632,0.24,High Calorie,Moderate Sugar,Yes
5053990127726,0.02,High Calorie,Low Sugar,Yes
5000295008069,1.0,High Calorie,Low Sugar,Yes
5010265002836,0.04,Low Calorie,Low Sugar,No
5060337221085,0.84,Low Calorie,Low Sugar,No
5060088706534,0.85,Low Calorie,Moderate Sugar,Yes
5201054017531,1.0,Low Calorie,Low Sugar,No
5740900404540,1.0,High Calorie,Low Sugar,No
3228857002344,0.08,Moderate Calorie,Low Sugar,Yes
6111031005538,0.69,High Calorie,High Sugar,No
8480000168832,0.45,High Calorie,Low Sugar,No
5449000008046,1.0,Low Calorie,High Sugar,Yes
3045320094084,1.0,Moderate Calorie,High Sugar,Yes
7613036669146,0.31,Moderate Calorie,Moderate Sugar,Yes
3608580065371,0.96,High Calorie,High Sugar,Yes
6111032002888,0.61,Low Calorie,Low Sugar,No
5010003000339,0.11,Low Calorie,Low Sugar,Yes
6111005054081,0.0,Low Calorie,Low Sugar,Yes
3302740087042,0.05,Low Calorie,Low Sugar,Yes
7622210713889,0.42,High Calorie,High Sugar,Yes
5010092093441,0.21,Low Calorie,Low Sugar,Yes
4088600072517,0.33,Low Calorie,Low Sugar,Yes
5013683305589,0.19,Moderate Calorie,Low Sugar,No
612322000127,0.02,Low Calorie,Low Sugar,No
5060198642760,0.05,Moderate Calorie,Low Sugar,No
7613034626844,0.3,Moderate Calorie,Moderate Sugar,Yes
7622210421968,0.6,High Calorie,High Sugar,Yes
